date,Materials close,Tech close,RE close,Discretionary close,Staples close,Energy close,Fin close,HealthCare close,Industrials close,Utilities close,Transports close,S&P 500 Close
2003-10-10,15.6663,15.2225,24.9652,23.4176,13.9255,16.9139,15.2858,21.2388,17.2546,12.1628,42.1221,75.1311
2003-10-13,15.831,15.2692,25.0908,23.6569,13.9785,16.9818,15.5271,21.2993,17.3261,12.2403,42.7774,75.3682
2003-10-14,15.934,15.2303,25.1083,23.7845,14.0515,16.9139,15.619,21.3296,17.4118,12.2735,43.0097,75.6341
2003-10-15,15.9203,15.3238,25.0088,23.6888,14.0316,16.6694,15.5788,21.2842,17.4404,12.1186,42.6696,75.4329
2003-10-16,15.9752,15.3783,25.1222,23.7925,14.0515,16.846,15.596,21.3977,17.4476,12.1739,42.8023,75.7346
2003-10-17,15.8242,15.129,24.9251,23.4575,13.9653,16.7305,15.4582,21.1555,17.3261,12.0964,42.6115,74.9084
2003-10-20,15.886,15.3082,24.7839,23.4336,13.9719,16.7237,15.4639,21.2615,17.3689,12.1573,42.429,75.4688
2003-10-21,15.9272,15.3939,24.7751,23.5053,13.952,16.778,15.4582,21.4583,17.3404,12.1407,42.7193,75.3395
2003-10-22,15.6594,15.1679,24.6147,23.1783,13.8857,16.5539,15.2399,20.883,17.1402,12.1352,42.0557,74.3911
2003-10-23,15.7281,15.0511,24.3688,23.1783,13.8857,16.5267,15.3433,21.0949,17.1831,12.1573,42.1055,74.2546
2003-10-24,15.7006,14.8252,24.102,23.2023,13.8724,16.5199,15.3261,21.1555,17.1903,12.1186,41.8732,74.4198
2003-10-27,15.8105,14.9031,24.4752,23.4575,13.8658,16.452,15.3261,21.1025,17.1974,12.1684,42.288,74.4558
2003-10-28,15.9478,15.2614,24.2572,23.9839,14.0183,16.4995,15.5214,21.269,17.3975,12.1352,42.288,75.4688
2003-10-29,16.1606,15.2848,24.4769,23.9361,14.0847,16.4656,15.5443,21.2085,17.5119,12.1241,42.9848,75.5694
2003-10-30,16.442,15.2692,24.5519,24.0158,14.0648,16.2414,15.5673,21.0117,17.6477,12.2237,43.6401,75.7275
2003-10-31,16.4146,15.2848,24.4752,23.9999,14.0648,16.4927,15.6075,21.1933,17.6763,12.2016,43.5488,75.6556
2003-11-03,16.4489,15.6432,24.8065,24.1833,14.2174,16.3909,15.7741,21.1328,17.7621,12.2624,43.7811,76.1514
2003-11-04,16.4214,15.5107,24.8222,24.0397,14.1311,16.3365,15.6937,20.9965,17.8121,12.2016,43.8392,75.9861
2003-11-05,16.3597,15.5575,24.7385,24.0158,14.1311,16.3841,15.6592,20.9738,17.7978,12.196,43.7811,76.0436
2003-11-06,16.4077,15.6821,24.9565,24.1913,14.1975,16.4044,15.7339,21.0798,17.8907,12.1462,44.5028,76.4459
2003-11-07,16.4695,15.6198,25.1641,24.2551,14.1975,16.4452,15.5673,20.8906,17.8264,12.0688,44.5193,75.8783
2003-11-10,16.2361,15.4172,24.9931,23.968,14.1577,16.418,15.5846,20.7316,17.662,12.0411,44.0797,75.5694
2003-11-11,16.1949,15.3783,24.8693,23.9281,14.1709,16.4112,15.5329,20.777,17.5977,12.0522,43.6401,75.5478
2003-11-12,16.4489,15.7055,25.2234,24.1674,14.2771,16.5063,15.6535,21.1631,17.8836,12.0798,43.8557,76.3956
2003-11-13,16.4352,15.573,25.3228,24.0796,14.1112,16.6558,15.6018,21.6551,17.8764,12.0964,43.9719,76.4172
2003-11-14,16.3391,15.3627,25.4762,23.8164,14.0316,16.6897,15.4007,21.973,17.7406,12.0798,43.5488,75.7706
2003-11-17,16.2292,15.1524,25.3664,23.6011,14.0449,16.5199,15.3605,21.9048,17.6906,11.9802,42.935,75.3898
2003-11-18,16.1812,14.9654,25.3768,23.298,13.9918,16.4044,15.1824,21.7762,17.6048,11.7644,42.8935,74.6066
