date,Open,High,Low,Close,Volume
2000-05-01,28.78,29.53,28.78,22.9368,6700.0
2000-05-02,29.09,29.44,29.09,22.7815,65300.0
2000-05-03,28.16,28.41,27.78,21.7018,167300.0
2000-05-04,27.81,27.81,27.34,21.3445,22800.0
2000-05-05,27.53,27.88,27.53,21.6164,15100.0
2000-05-08,27.56,27.84,27.38,21.5542,54600.0
2000-05-09,28.19,28.38,28.03,21.7717,17900.0
2000-05-10,27.91,28.09,27.78,21.7717,63000.0
2000-05-11,28.44,28.5,28.28,21.9659,18100.0
2000-05-12,28.59,28.69,28.44,22.2844,3000.0
2000-05-15,28.44,28.97,28.31,22.3543,26700.0
2000-05-16,29.25,29.25,28.75,22.5252,7700.0
2000-05-17,28.44,28.48,28.25,21.9892,9500.0
2000-05-18,28.31,28.88,28.31,22.4319,1600.0
2000-05-19,28.31,28.63,28.13,21.8572,1900.0
2000-05-22,27.91,27.91,27.53,21.5309,8500.0
2000-05-23,27.69,28.06,27.59,21.43,20000.0
2000-05-24,27.34,27.34,26.63,21.0416,3900.0
2000-05-25,27.19,27.28,26.84,20.8474,21000.0
2000-05-26,26.8,26.8,26.28,20.4125,40300.0
2000-05-30,26.31,26.5,26.14,20.5678,92000.0
2000-05-31,26.5,27.13,26.5,21.0571,28000.0
2000-06-01,27.0,27.31,27.0,21.2125,1500.0
2000-06-02,27.78,28.06,27.75,21.795,23700.0
2000-06-05,27.75,28.13,27.75,21.6785,1200.0
2000-06-06,27.66,27.66,26.94,20.9872,5600.0
2000-06-07,26.94,27.38,26.91,20.9872,21100.0
2000-06-08,27.05,27.05,26.59,20.7775,15800.0
2000-06-09,26.81,27.0,26.28,20.4358,67700.0
2000-06-12,25.72,25.84,25.59,19.9309,12400.0
2000-06-13,25.59,26.44,25.59,20.3192,115400.0
2000-06-14,26.19,26.56,26.19,20.3892,44600.0
2000-06-15,26.41,26.47,26.19,20.3425,135800.0
2000-06-16,26.03,26.03,25.75,20.1098,18600.0
2000-06-19,25.59,25.88,25.5,20.0865,22300.0
2000-06-20,25.69,25.69,25.19,19.6507,14100.0
