date,Open,High,Low,Close,Volume
2000-05-01,29.19,29.56,29.03,18.6902,34700.0
2000-05-02,29.34,30.0,29.34,18.9641,148000.0
2000-05-03,29.75,29.75,29.0,18.4736,79100.0
2000-05-04,29.19,29.8,29.19,18.9513,44000.0
2000-05-05,29.75,30.11,29.63,19.1488,35600.0
2000-05-08,29.88,30.59,29.88,19.3909,83000.0
2000-05-09,30.75,30.78,30.19,19.3972,122400.0
2000-05-10,30.44,30.72,30.22,19.4609,353700.0
2000-05-11,30.69,31.55,30.69,20.0661,130800.0
2000-05-12,31.38,31.63,31.33,20.1362,45100.0
2000-05-15,31.69,32.31,31.5,20.5566,1278300.0
2000-05-16,32.0,32.13,31.38,20.1553,930400.0
2000-05-17,31.81,31.81,31.36,20.2572,45600.0
2000-05-18,31.75,31.98,31.38,20.2254,889700.0
2000-05-19,31.53,31.98,31.39,20.2636,71400.0
2000-05-22,31.56,31.92,31.55,20.098,108400.0
2000-05-23,31.5,31.75,31.22,20.0152,140300.0
2000-05-24,31.38,31.61,31.06,20.0534,64800.0
2000-05-25,31.5,31.5,30.59,19.6712,331800.0
2000-05-26,30.94,31.36,30.89,19.6775,34600.0
2000-05-30,31.09,31.5,31.0,19.9578,62400.0
2000-05-31,31.31,32.31,31.31,20.5566,114700.0
2000-06-01,32.16,32.16,31.38,20.3655,41300.0
2000-06-02,31.88,31.91,30.69,19.6712,49600.0
2000-06-05,30.69,31.0,30.38,19.3909,1123300.0
2000-06-06,30.59,31.63,30.59,20.1489,65700.0
2000-06-07,31.5,31.61,31.03,19.8877,37900.0
2000-06-08,31.16,31.5,31.06,19.8941,74500.0
2000-06-09,31.36,31.41,31.0,19.8559,129800.0
2000-06-12,31.13,32.06,31.13,20.3082,257500.0
2000-06-13,31.94,32.13,31.78,20.3082,357100.0
2000-06-14,32.06,32.5,31.44,20.2763,216200.0
2000-06-15,31.97,32.0,31.17,19.9897,251400.0
2000-06-16,31.38,32.19,31.38,20.3214,478500.0
2000-06-19,31.81,32.06,31.25,20.1486,234700.0
2000-06-20,31.38,31.47,30.7,20.0398,90400.0
2000-06-21,31.13,31.97,31.06,20.4046,160700.0
2000-06-22,32.02,32.13,31.03,19.8606,94300.0
2000-06-23,31.25,31.75,31.25,20.1102,79000.0
2000-06-26,31.69,31.69,31.0,19.9502,44500.0
2000-06-27,31.22,31.22,30.63,19.8094,14600.0
2000-06-28,30.77,30.88,30.44,19.643,90100.0
2000-06-29,30.63,31.0,30.56,19.6814,544400.0
2000-06-30,30.59,30.81,30.09,19.419,127600.0
2000-07-03,30.19,30.64,30.19,19.5406,54000.0
2000-07-05,30.0,30.11,29.25,18.7341,1032400.0
2000-07-06,29.69,30.13,29.56,18.9197,217800.0
2000-07-07,29.81,29.91,29.63,19.0093,522000.0
2000-07-10,29.69,30.11,29.69,19.0989,173300.0
2000-07-11,30.0,30.98,30.0,19.7838,71100.0
2000-07-12,31.0,31.05,30.5,19.5214,154300.0
2000-07-13,30.22,30.34,29.88,19.2206,68900.0
2000-07-14,30.19,30.19,29.69,19.2014,211700.0
2000-07-17,30.06,30.19,29.61,18.9517,228000.0
2000-07-18,29.63,30.19,29.63,19.1245,101000.0
2000-07-19,30.0,30.09,29.66,19.0733,57200.0
2000-07-20,29.75,29.94,29.5,18.8813,185600.0
2000-07-21,29.56,29.59,28.91,18.5229,37500.0
2000-07-24,29.25,29.25,28.47,18.3309,116300.0
2000-07-25,28.72,29.0,28.28,18.1645,487700.0
2000-07-26,28.66,28.78,28.44,18.3117,35000.0
2000-07-27,28.52,29.66,28.52,18.9389,156200.0
2000-07-28,29.63,29.81,29.38,18.8045,29500.0
2000-07-31,29.63,29.75,29.16,18.6829,267200.0
2000-08-01,29.44,29.84,29.44,19.0285,73900.0
2000-08-02,30.0,30.41,29.97,19.3934,105800.0
2000-08-03,30.5,30.63,29.88,19.1245,44100.0
2000-08-04,29.88,30.19,29.66,19.2014,30000.0
2000-08-07,30.03,30.59,30.03,19.451,34600.0
2000-08-08,30.38,30.56,30.31,19.4894,29800.0
2000-08-09,30.75,31.75,30.63,19.8414,48900.0
2000-08-10,31.03,31.38,31.03,20.0206,54000.0
2000-08-11,31.5,31.5,31.02,20.0014,158400.0
2000-08-14,31.31,31.84,31.25,20.283,173100.0
2000-08-15,32.0,32.09,31.56,20.1998,268900.0
2000-08-16,31.63,32.0,31.56,20.4814,42500.0
2000-08-17,32.38,32.88,32.38,20.9615,226200.0
2000-08-18,32.81,32.81,32.25,20.7247,718800.0
2000-08-21,32.44,32.5,32.25,20.8015,78200.0
2000-08-22,32.5,32.75,32.34,20.7439,650000.0
2000-08-23,32.75,33.38,32.75,21.2815,203200.0
2000-08-24,33.38,33.38,32.44,20.8207,239100.0
2000-08-25,32.56,32.63,32.19,20.8847,261800.0
2000-08-28,32.41,33.06,32.31,20.9615,110800.0
2000-08-29,32.75,32.92,32.59,20.9807,106500.0
2000-08-30,32.63,32.78,32.19,20.8015,165800.0
2000-08-31,32.5,32.63,32.27,20.7247,78500.0
2000-09-01,32.28,32.94,32.28,20.9295,102700.0
2000-09-05,32.88,33.13,32.5,20.9295,722500.0
2000-09-06,32.88,33.47,32.88,21.3903,228000.0
2000-09-07,33.31,33.44,33.19,21.2943,104400.0
2000-09-08,33.19,33.25,32.66,21.0447,892200.0
2000-09-11,32.88,34.0,32.88,21.7103,820300.0
2000-09-12,34.06,34.13,33.44,21.6847,553100.0
2000-09-13,33.94,33.94,33.28,21.3199,109800.0
2000-09-14,33.31,33.44,33.02,21.2623,417300.0
2000-09-15,33.5,34.31,33.5,21.8146,762800.0
2000-09-18,34.38,34.47,34.0,21.8532,205500.0
2000-09-19,34.06,34.06,33.03,21.2683,3814500.0
2000-09-20,33.44,33.55,32.44,20.8505,1429200.0
2000-09-21,32.31,32.41,32.02,20.6898,4575600.0
2000-09-22,32.02,33.38,31.63,20.5549,1469500.0
2000-09-25,31.88,31.88,31.0,20.2464,507200.0
2000-09-26,31.69,32.31,31.69,20.7284,465300.0
2000-09-27,32.31,32.94,32.06,21.1205,83200.0
2000-09-28,32.92,32.92,32.5,21.0369,322600.0
2000-09-29,33.0,33.25,32.77,21.0626,127200.0
2000-10-02,32.94,33.48,32.94,21.4933,314500.0
2000-10-03,33.36,33.48,33.19,21.4804,92200.0
2000-10-04,33.31,33.31,32.44,20.8505,151800.0
2000-10-05,32.42,33.48,32.0,20.8184,2279800.0
2000-10-06,32.63,33.0,32.06,20.7284,540000.0
2000-10-09,32.38,32.91,32.38,21.0498,1375800.0
2000-10-10,32.94,33.81,32.94,21.519,1231400.0
2000-10-11,33.69,34.31,33.53,21.7247,398900.0
2000-10-12,34.0,34.59,34.0,22.0525,2032800.0
2000-10-13,34.31,34.75,32.88,21.2105,304100.0
2000-10-16,32.89,32.95,32.58,21.0112,328100.0
2000-10-17,33.0,33.25,32.7,21.0176,511400.0
2000-10-18,32.88,33.0,32.25,20.7413,1417200.0
2000-10-19,32.31,32.81,32.06,20.8377,977400.0
2000-10-20,32.19,33.06,32.19,21.249,488600.0
2000-10-23,33.13,33.13,32.47,20.9084,205500.0
2000-10-24,32.56,32.63,31.95,20.5549,80300.0
2000-10-25,32.13,32.13,31.13,20.0535,397200.0
2000-10-26,31.63,31.75,31.19,20.1435,450900.0
