date,Open,High,Low,Close,Volume
2000-05-01,23.38,24.28,23.34,12.9624,95100.0
2000-05-02,23.69,23.94,23.64,12.838,145800.0
2000-05-03,23.78,23.98,23.09,12.6106,345500.0
2000-05-04,23.13,23.19,22.78,12.4158,146900.0
2000-05-05,22.69,23.16,22.66,12.497,60500.0
2000-05-08,22.84,23.56,22.84,12.746,40000.0
2000-05-09,23.69,23.97,23.22,12.7081,569800.0
2000-05-10,23.42,23.44,22.84,12.3725,283000.0
2000-05-11,23.16,23.67,23.16,12.746,238700.0
2000-05-12,23.5,24.09,23.44,12.8867,496500.0
2000-05-15,23.94,24.91,23.94,13.4658,400700.0
2000-05-16,24.89,25.11,24.53,13.3846,176500.0
2000-05-17,24.27,24.66,24.25,13.1573,95900.0
2000-05-18,24.47,25.09,24.47,13.3305,230700.0
2000-05-19,24.66,24.66,24.0,13.0923,148100.0
2000-05-22,24.3,24.5,23.88,13.2601,146100.0
2000-05-23,24.38,24.75,24.28,13.3467,165500.0
2000-05-24,24.52,25.19,24.52,13.5145,270200.0
2000-05-25,24.92,25.03,24.09,13.1735,432800.0
2000-05-26,24.13,24.47,24.0,13.1248,523700.0
2000-05-30,24.7,24.81,24.44,13.3954,256200.0
2000-05-31,24.78,25.09,24.63,13.5578,123500.0
2000-06-01,25.17,25.92,25.13,14.007,472000.0
2000-06-02,27.13,27.16,26.56,14.5807,1106700.0
2000-06-05,26.88,26.88,26.06,14.2506,174000.0
2000-06-06,26.13,26.64,25.5,13.9367,237800.0
2000-06-07,25.67,26.31,25.67,14.1423,94200.0
2000-06-08,26.16,26.16,25.53,13.9042,248200.0
2000-06-09,25.94,26.0,25.13,13.666,227000.0
2000-06-12,25.31,25.53,25.28,13.7851,85000.0
2000-06-13,25.25,25.75,25.13,13.7689,559900.0
2000-06-14,25.69,26.16,25.56,14.007,234800.0
2000-06-15,25.5,25.63,24.84,13.6769,952300.0
2000-06-16,24.81,24.91,23.81,13.0368,1101500.0
2000-06-19,23.88,24.75,23.88,13.379,687100.0
2000-06-20,24.73,24.75,24.25,13.2052,637800.0
2000-06-21,24.13,24.34,23.88,13.1074,371300.0
2000-06-22,23.88,24.11,23.63,13.0965,382200.0
2000-06-23,24.13,24.44,23.91,13.0042,451900.0
2000-06-26,24.19,24.47,24.06,13.2052,175500.0
2000-06-27,24.56,24.69,24.34,13.3355,220000.0
2000-06-28,24.66,24.75,24.31,13.2323,315900.0
2000-06-29,24.08,24.44,24.0,13.2215,75300.0
2000-06-30,24.09,24.25,23.41,12.901,630400.0
2000-07-03,23.75,24.19,23.56,13.14,418000.0
2000-07-05,24.39,24.75,24.13,13.2812,553700.0
2000-07-06,24.25,24.75,24.08,13.3844,374200.0
2000-07-07,24.89,25.22,24.7,13.6126,300600.0
2000-07-10,25.19,25.41,25.06,13.6506,375900.0
2000-07-11,25.28,25.56,25.14,13.7158,178000.0
2000-07-12,25.78,25.91,25.5,13.9113,186800.0
2000-07-13,25.73,25.73,25.25,13.7755,449800.0
2000-07-14,25.47,25.94,25.47,14.0037,121000.0
2000-07-17,25.75,25.88,25.28,13.7429,137600.0
2000-07-18,25.14,25.34,24.97,13.7647,69000.0
2000-07-19,25.16,25.41,25.09,13.7158,69800.0
2000-07-20,25.28,26.06,25.28,14.0634,97300.0
2000-07-21,25.94,26.22,25.72,14.02,164300.0
2000-07-24,25.94,26.25,25.72,14.1069,234400.0
2000-07-25,25.98,26.13,25.78,14.134,253200.0
2000-07-26,25.94,26.16,25.69,14.0634,145400.0
2000-07-27,25.84,26.34,25.84,14.1069,130600.0
2000-07-28,25.94,26.13,25.41,13.8027,199700.0
2000-07-31,25.78,26.09,25.47,14.0363,154600.0
2000-08-01,25.98,26.17,25.88,14.134,71200.0
2000-08-02,26.16,26.34,25.91,14.1123,59800.0
2000-08-03,26.09,26.75,26.03,14.4871,132400.0
2000-08-04,27.0,27.7,26.92,15.0466,298600.0
2000-08-07,27.56,27.78,27.16,15.0901,561600.0
2000-08-08,27.78,27.78,27.44,15.0901,124500.0
2000-08-09,27.53,27.91,27.06,14.9869,355000.0
2000-08-10,27.78,27.84,27.28,14.9054,153700.0
2000-08-11,27.56,27.88,27.31,15.1335,136500.0
2000-08-14,27.77,28.23,27.5,15.3291,117900.0
2000-08-15,28.06,28.06,27.59,15.0466,53800.0
2000-08-16,27.91,27.97,27.47,14.9869,130700.0
2000-08-17,27.28,27.75,27.28,15.0629,288700.0
2000-08-18,27.69,27.69,27.41,14.9543,149800.0
