date,Open,High,Low,Close,Volume
2000-05-01,30.41,30.56,30.28,22.5431,3500.0
2000-05-02,29.94,29.94,29.64,22.0909,3800.0
2000-05-03,29.31,29.41,28.69,21.4756,10600.0
2000-05-04,28.88,29.06,28.77,21.4089,18600.0
2000-05-05,28.78,29.03,28.78,21.3792,4700.0
2000-05-08,28.67,28.91,28.58,21.4311,5800.0
2000-05-09,28.94,28.94,28.66,21.2754,6200.0
2000-05-10,28.94,29.09,28.47,21.2458,9100.0
2000-05-11,28.66,28.75,28.56,21.2235,3800.0
2000-05-12,28.88,29.22,28.84,21.5942,5100.0
2000-05-15,29.0,29.63,29.0,21.95,8000.0
2000-05-16,29.84,30.16,29.84,22.2391,11200.0
2000-05-17,29.66,29.91,29.59,21.9871,6600.0
2000-05-18,29.81,29.81,29.56,21.9648,2200.0
2000-05-19,29.16,29.16,28.81,21.3792,5500.0
2000-05-22,28.81,28.81,28.38,21.142,47300.0
2000-05-23,28.56,28.66,28.28,20.9641,6600.0
2000-05-24,28.81,28.81,28.08,21.1049,7800.0
2000-05-25,28.5,28.69,28.25,20.9418,112100.0
2000-05-26,28.5,28.5,27.97,20.7787,139600.0
2000-05-30,28.28,29.25,28.28,21.6387,52200.0
2000-05-31,29.25,29.5,29.13,21.8685,41100.0
2000-06-01,29.56,29.66,29.25,21.7276,19300.0
2000-06-02,29.84,30.25,29.81,22.2614,26900.0
2000-06-05,30.16,30.2,29.88,22.1946,8100.0
2000-06-06,29.88,29.97,29.59,22.0093,22800.0
2000-06-07,29.59,29.81,29.41,21.95,9400.0
2000-06-08,29.75,29.75,29.38,21.7795,9500.0
2000-06-09,29.59,29.97,29.59,22.0983,14300.0
2000-06-12,29.75,29.75,29.38,21.8907,17200.0
2000-06-13,29.28,29.41,29.13,21.5942,4100.0
2000-06-14,29.69,29.84,29.47,21.9648,10100.0
2000-06-15,30.0,30.47,30.0,22.5875,57000.0
2000-06-16,30.31,30.5,30.06,22.3355,1318500.0
2000-06-19,30.31,30.41,30.16,22.4689,21100.0
2000-06-20,30.06,30.38,29.94,22.4393,5300.0
2000-06-21,30.03,30.25,30.0,22.3355,134600.0
2000-06-22,30.0,30.22,30.0,22.2836,25200.0
2000-06-23,30.06,30.06,29.31,21.8685,2900.0
2000-06-26,29.5,29.5,29.13,21.6609,6600.0
2000-06-27,29.16,29.38,29.06,21.6164,59200.0
2000-06-28,29.34,29.48,29.03,21.5201,42100.0
2000-06-29,29.0,29.47,28.91,21.8462,31900.0
2000-06-30,29.38,29.56,29.33,21.9129,16600.0
2000-07-03,29.25,29.5,29.25,21.8685,2400.0
2000-07-05,29.56,29.78,29.41,22.0093,83100.0
2000-07-06,29.72,29.84,29.41,21.9648,12400.0
2000-07-07,29.5,29.91,29.5,22.1502,14400.0
2000-07-10,29.84,29.84,29.41,21.9648,23200.0
2000-07-11,29.28,29.5,29.22,21.7202,6400.0
2000-07-12,29.73,30.0,29.56,22.1205,98400.0
2000-07-13,29.66,30.06,29.66,22.1946,5600.0
2000-07-14,30.16,30.41,29.97,22.5431,4000.0
2000-07-17,30.44,30.44,30.0,22.2614,26200.0
2000-07-18,29.78,29.91,29.55,21.9129,56600.0
2000-07-19,29.69,29.97,29.63,22.0538,7600.0
2000-07-20,29.91,30.28,29.91,22.4022,2000.0
2000-07-21,30.09,30.09,29.44,21.8462,6500.0
2000-07-24,29.5,29.5,29.16,21.6387,61200.0
2000-07-25,29.44,29.44,29.09,21.6461,42500.0
2000-07-26,29.25,29.28,28.97,21.4756,26900.0
2000-07-27,29.13,29.34,29.08,21.6164,2000.0
