date,Open,High,Low,Close,Volume
2000-05-01,29.73,30.31,29.61,20.6869,2000.0
2000-05-02,29.97,30.22,29.72,20.4753,187400.0
2000-05-03,29.59,29.69,28.84,19.7928,52900.0
2000-05-04,28.86,29.28,28.83,19.8269,29200.0
2000-05-05,29.28,29.78,29.17,20.175,7200.0
2000-05-08,29.7,29.7,29.5,20.1682,4000.0
2000-05-09,29.55,29.55,29.17,20.0044,10400.0
2000-05-10,29.06,29.11,28.75,19.8064,2100.0
2000-05-11,29.45,29.73,29.45,20.291,2200.0
2000-05-12,29.88,30.09,29.88,20.5367,4100.0
2000-05-15,30.0,30.59,30.0,20.878,9700.0
2000-05-16,30.63,31.06,30.63,21.0759,10500.0
2000-05-17,30.72,30.72,30.44,20.9326,4900.0
2000-05-18,30.78,30.78,30.53,20.837,500.0
2000-05-19,30.0,30.0,29.69,20.2637,3900.0
2000-05-22,29.0,29.2,29.0,19.9088,5500.0
2000-05-23,29.17,29.17,28.91,19.8269,800.0
2000-05-24,29.0,29.47,29.0,20.1136,3800.0
2000-05-25,29.75,29.75,28.94,19.7518,51700.0
2000-05-26,29.23,29.23,28.67,19.6426,8900.0
2000-05-30,29.06,29.45,28.91,19.9975,157200.0
2000-05-31,29.48,29.91,29.45,20.134,2000.0
2000-06-01,29.55,29.84,29.55,20.291,1500.0
2000-06-02,30.08,30.08,29.69,20.4412,86800.0
2000-06-05,30.19,30.19,29.88,20.4139,4500.0
2000-06-06,29.66,29.88,29.66,20.2637,204700.0
2000-06-07,29.75,29.97,29.5,20.1682,20000.0
2000-06-08,29.44,29.44,29.0,19.8474,13000.0
2000-06-09,29.31,29.41,28.97,19.9225,14900.0
2000-06-12,29.25,29.3,29.05,19.9429,63900.0
2000-06-13,29.09,29.44,28.95,20.0248,13700.0
2000-06-14,29.47,29.64,29.19,19.9839,57400.0
2000-06-15,29.55,29.63,29.45,20.175,44500.0
2000-06-16,29.34,29.34,28.98,19.8206,110400.0
2000-06-19,28.94,28.94,28.36,19.6223,219100.0
2000-06-20,28.17,28.38,27.8,19.0135,8100.0
2000-06-21,27.7,27.92,27.7,19.0888,11700.0
2000-06-22,27.67,27.67,27.3,18.6716,76800.0
2000-06-23,27.67,27.73,27.59,18.8699,2400.0
2000-06-26,28.0,28.27,27.97,19.3213,18100.0
2000-06-27,28.31,28.45,28.27,19.4102,3800.0
2000-06-28,28.16,28.73,28.0,19.6496,203200.0
2000-06-29,28.5,28.5,27.78,19.3076,22200.0
2000-06-30,28.23,28.28,28.09,19.3418,7300.0
2000-07-03,28.41,28.66,28.41,19.6017,4700.0
2000-07-05,28.72,29.0,28.41,19.4307,9000.0
2000-07-06,28.56,28.56,28.19,19.376,16800.0
2000-07-07,28.41,28.61,28.41,19.4718,212800.0
2000-07-10,28.23,28.75,28.16,19.4923,115800.0
2000-07-11,28.5,29.17,28.47,19.8685,8100.0
2000-07-12,29.31,29.31,29.11,19.9437,5700.0
2000-07-13,29.23,29.44,29.16,20.101,4400.0
2000-07-14,29.59,29.69,29.44,20.3062,1300.0
2000-07-17,29.8,30.08,29.8,20.4225,13500.0
2000-07-18,30.0,30.02,29.75,20.4772,17900.0
2000-07-19,29.86,29.89,29.42,20.3062,10400.0
2000-07-20,30.08,30.16,29.91,20.5524,5200.0
2000-07-21,30.11,30.11,29.78,20.5182,2400.0
2000-07-24,29.94,30.03,29.66,20.3677,16000.0
2000-07-25,29.94,29.94,29.69,20.4088,1800.0
2000-07-26,29.61,29.61,29.41,20.1557,3700.0
2000-07-27,29.81,29.81,29.27,20.0189,900.0
2000-07-28,29.0,29.0,28.28,19.3418,39100.0
2000-07-31,28.56,29.0,28.56,19.6428,38500.0
2000-08-01,28.83,29.0,28.83,19.7932,97300.0
2000-08-02,28.75,29.0,28.75,19.7043,2700.0
2000-08-03,28.81,29.0,28.7,19.7385,3200.0
2000-08-04,29.0,29.25,29.0,19.9847,39500.0
2000-08-07,29.2,30.08,29.2,20.5729,5600.0
2000-08-08,30.0,30.41,29.97,20.7508,5100.0
2000-08-09,30.75,30.75,30.36,20.9354,22500.0
2000-08-10,30.47,30.81,30.47,20.8807,25700.0
2000-08-11,30.69,31.06,30.59,21.1201,23900.0
2000-08-14,31.0,31.22,30.75,21.3321,60500.0
2000-08-15,31.0,31.0,30.63,21.0654,4400.0
2000-08-16,30.75,30.84,30.72,21.0312,22100.0
2000-08-17,30.81,30.91,30.81,21.0722,25500.0
2000-08-18,30.88,30.97,30.72,21.0106,31500.0
2000-08-21,30.84,31.16,30.84,21.3116,5000.0
2000-08-22,31.06,31.31,31.06,21.2637,1300.0
2000-08-23,31.09,31.22,30.94,21.1611,35400.0
2000-08-24,30.95,31.47,30.94,21.3868,33700.0
2000-08-25,31.53,31.56,31.34,21.4826,202400.0
2000-08-28,31.72,31.94,31.56,21.7698,113000.0
2000-08-29,31.8,31.8,31.56,21.633,5500.0
2000-08-30,31.53,31.69,31.16,21.4279,5400.0
2000-08-31,31.31,31.75,31.31,21.5852,31700.0
2000-09-01,31.75,31.84,31.56,21.7767,2700.0
2000-09-05,31.72,32.03,31.72,21.7767,151500.0
2000-09-06,31.78,32.19,31.78,21.8861,31000.0
2000-09-07,31.88,31.91,31.75,21.7561,45200.0
2000-09-08,31.72,31.72,31.25,21.5031,328700.0
2000-09-11,31.66,31.84,31.25,21.3937,169900.0
2000-09-12,31.25,31.31,31.14,21.3321,200200.0
2000-09-13,31.31,31.41,31.16,21.3937,30200.0
2000-09-14,31.34,31.34,31.19,21.3731,13000.0
2000-09-15,30.72,30.81,30.38,20.8365,14900.0
2000-09-18,30.31,30.63,30.03,20.5964,22400.0
2000-09-19,30.06,30.06,29.59,20.3632,11800.0
2000-09-20,29.84,29.84,29.34,20.4661,20200.0
2000-09-21,29.75,29.94,29.63,20.5347,16200.0
2000-09-22,29.63,29.72,29.44,20.3838,5800.0
2000-09-25,30.25,30.59,30.25,20.9805,38300.0
2000-09-26,30.28,30.63,30.22,21.008,4100.0
2000-09-27,30.41,30.63,30.31,20.8365,10000.0
2000-09-28,30.44,30.84,30.22,21.1108,51900.0
2000-09-29,30.59,30.81,30.42,20.9599,4800.0
2000-10-02,30.28,30.48,30.13,20.7473,10800.0
2000-10-03,30.44,31.06,30.38,21.152,16000.0
2000-10-04,30.84,31.06,30.84,21.3029,16600.0
2000-10-05,31.16,31.16,30.94,21.3235,2500.0
2000-10-06,31.0,31.06,30.25,20.7473,2400.0
2000-10-09,30.19,30.44,30.13,20.8776,1300.0
2000-10-10,30.31,30.34,30.03,20.5964,3200.0
2000-10-11,29.56,29.84,29.47,20.2329,20400.0
2000-10-12,29.63,29.63,28.59,19.7734,17000.0
2000-10-13,28.92,29.72,28.91,20.3838,5900.0
2000-10-16,29.91,30.25,29.84,20.665,3600.0
2000-10-17,30.13,30.16,29.31,20.1026,11000.0
2000-10-18,28.61,29.38,28.61,19.7391,29200.0
2000-10-19,29.0,29.28,29.0,20.082,5700.0
2000-10-20,29.38,29.44,29.25,20.1918,700.0
2000-10-23,29.81,30.06,29.75,20.425,7600.0
2000-10-24,30.06,30.44,30.06,20.7473,33600.0
2000-10-25,29.72,30.0,29.69,20.3632,1200.0
2000-10-26,29.59,29.84,29.0,20.4661,72200.0
2000-10-27,29.83,29.88,29.5,20.4593,502700.0
2000-10-30,30.0,30.2,30.0,20.6856,1000.0
2000-10-31,30.72,31.25,30.72,21.4332,5400.0
2000-11-01,31.44,31.47,31.06,21.4538,2900.0
2000-11-02,31.28,31.41,31.2,21.4126,3300.0
2000-11-03,31.19,31.19,30.97,21.2412,400.0
2000-11-06,31.09,31.47,31.09,21.4332,30900.0
2000-11-07,31.22,31.38,31.13,21.5224,15700.0
2000-11-08,31.44,31.53,31.09,21.3783,6000.0
2000-11-09,31.19,31.38,31.03,21.5224,3400.0
2000-11-10,30.91,31.13,30.66,21.0285,24200.0
2000-11-13,30.0,30.25,29.61,20.6376,10800.0
2000-11-14,30.19,30.69,30.19,21.0491,1400.0
2000-11-15,30.69,30.94,30.69,21.0903,7700.0
2000-11-16,31.03,31.03,30.77,21.2,800.0
2000-11-17,30.78,31.28,30.75,21.1108,5900.0
2000-11-20,30.78,30.78,30.31,20.8091,2000.0
2000-11-21,30.31,30.72,30.31,21.0697,2900.0
2000-11-22,30.34,30.34,30.03,20.7268,1200.0
2000-11-24,30.22,30.75,30.22,21.0697,3900.0
2000-11-27,31.06,31.06,30.59,21.1108,4800.0
2000-11-28,30.59,30.59,30.25,20.8434,3300.0
2000-11-29,30.53,30.78,30.5,21.0148,53000.0
2000-11-30,30.09,30.19,29.84,20.7062,8300.0
2000-12-01,30.47,30.75,30.45,20.8845,1002700.0
2000-12-04,30.84,31.31,30.81,21.4538,17200.0
2000-12-05,31.69,32.42,31.69,22.2357,71700.0
2000-12-06,32.27,32.27,31.78,21.7967,9300.0
2000-12-07,31.78,31.8,31.59,21.735,2100.0
2000-12-08,31.97,32.41,31.97,22.1053,5500.0
2000-12-11,32.28,32.66,32.28,22.3523,8600.0
2000-12-12,32.19,32.47,31.97,22.023,6100.0
2000-12-13,32.09,32.09,31.53,21.639,5700.0
2000-12-14,31.25,31.55,30.88,21.1794,15100.0
2000-12-15,30.22,30.47,29.94,20.8351,12700.0
2000-12-18,30.69,30.86,30.53,21.2208,8700.0
2000-12-19,30.81,30.91,30.28,20.8558,23200.0
2000-12-20,29.53,29.66,29.13,20.167,18900.0
2000-12-21,29.22,29.5,29.03,20.2841,20800.0
2000-12-22,29.63,30.22,29.63,20.7731,3400.0
2000-12-26,30.31,30.5,30.0,21.0073,15500.0
2000-12-27,30.38,31.0,30.33,21.3517,16200.0
2000-12-28,31.06,31.45,31.0,21.6616,23000.0
2000-12-29,31.47,31.78,31.25,21.5239,15900.0
2001-01-02,31.22,31.22,29.7,20.5665,150900.0
2001-01-03,29.19,31.38,29.19,21.4619,212300.0
2001-01-04,31.38,31.63,31.33,21.6341,7200.0
2001-01-05,30.31,31.03,30.28,21.0073,37600.0
2001-01-08,30.23,30.25,29.88,20.8351,6000.0
2001-01-09,30.39,30.47,30.0,20.8971,293600.0
2001-01-10,29.81,30.63,29.78,21.0968,123400.0
2001-01-11,30.56,31.16,30.56,21.3517,9700.0
2001-01-12,31.0,31.13,30.53,21.2897,33300.0
2001-01-16,30.97,31.31,30.72,21.4894,7200.0
2001-01-17,31.56,31.56,31.16,21.4619,32800.0
2001-01-18,30.94,31.44,30.72,21.5996,6800.0
2001-01-19,31.69,31.69,30.8,21.3723,12300.0
2001-01-22,30.84,31.0,30.59,21.331,37500.0
2001-01-23,31.06,31.41,30.94,21.6134,106400.0
2001-01-24,31.22,31.41,31.16,21.4894,16600.0
2001-01-25,31.16,31.25,31.03,21.4825,3300.0
2001-01-26,30.78,31.0,30.58,21.1244,78000.0
2001-01-29,30.91,30.91,30.66,21.2139,17700.0
2001-01-30,30.72,31.31,30.45,21.5583,14800.0
