date,Open,High,Low,Close,Volume
2000-05-01,22.08,22.38,22.0,13.8173,21100.0
2000-05-02,22.25,22.94,22.25,14.2458,27200.0
2000-05-03,22.84,22.84,22.25,14.0098,89400.0
2000-05-04,22.66,22.98,22.45,14.1589,100300.0
2000-05-05,22.78,23.0,22.77,14.1465,10300.0
2000-05-08,22.88,23.06,22.66,14.0719,276500.0
2000-05-09,22.97,23.16,22.86,14.3203,1078200.0
2000-05-10,22.81,23.13,22.67,14.1465,46200.0
2000-05-11,22.78,23.09,22.78,14.3328,32700.0
2000-05-12,23.23,23.23,22.94,14.3824,14000.0
2000-05-15,23.13,23.78,23.13,14.6308,41500.0
2000-05-16,23.75,23.78,23.22,14.4756,1223000.0
2000-05-17,23.22,23.59,23.13,14.5191,14000.0
2000-05-18,23.31,23.39,23.0,14.4011,210200.0
2000-05-19,23.11,23.33,23.06,14.4383,22200.0
2000-05-22,23.34,23.34,22.94,14.3638,51800.0
2000-05-23,22.94,22.95,22.61,14.1589,52800.0
2000-05-24,22.56,22.89,22.5,14.0968,44700.0
2000-05-25,22.45,22.45,21.72,13.5875,39700.0
2000-05-26,21.75,21.77,21.5,13.3702,28000.0
2000-05-30,21.72,21.94,21.47,13.5192,11600.0
2000-05-31,21.78,21.98,21.58,13.4012,15400.0
2000-06-01,21.23,21.64,21.23,13.4385,14000.0
2000-06-02,21.7,22.0,21.7,13.6621,29000.0
2000-06-05,22.06,22.06,21.72,13.5441,31600.0
2000-06-06,21.78,21.94,21.63,13.5627,8300.0
2000-06-07,21.84,21.84,21.31,13.277,57500.0
2000-06-08,21.23,21.41,21.14,13.2522,56000.0
2000-06-09,21.36,21.52,21.16,13.2336,72400.0
2000-06-12,21.19,21.75,21.19,13.3143,94100.0
2000-06-13,21.56,21.56,20.83,12.9355,40000.0
2000-06-14,21.08,21.64,21.08,13.277,56400.0
2000-06-15,21.42,21.61,21.28,13.277,74100.0
2000-06-16,21.3,21.42,21.08,13.3389,38700.0
2000-06-19,21.27,21.27,20.69,12.9084,62800.0
2000-06-20,20.58,20.72,20.31,12.6713,68900.0
2000-06-21,20.19,20.39,20.06,12.6151,107200.0
2000-06-22,20.06,20.47,20.03,12.6151,111100.0
2000-06-23,20.13,20.34,20.11,12.6214,79800.0
2000-06-26,20.34,20.34,19.77,12.3344,34300.0
2000-06-27,20.0,20.81,20.0,12.8273,167200.0
2000-06-28,20.28,20.58,19.98,12.8023,66100.0
2000-06-29,20.19,20.38,19.77,12.5652,15300.0
2000-06-30,20.14,20.19,19.64,12.2533,18700.0
2000-07-03,19.97,20.25,19.81,12.5964,9300.0
2000-07-05,20.38,20.75,20.28,12.6526,50200.0
2000-07-06,20.36,20.36,19.75,12.3219,60500.0
2000-07-07,20.0,20.0,19.47,12.2658,99500.0
2000-07-10,19.66,20.17,19.66,12.4404,35600.0
2000-07-11,20.19,21.0,20.19,13.1018,45200.0
2000-07-12,21.17,21.19,20.75,13.0331,34500.0
2000-07-13,20.89,21.25,20.89,13.1829,35800.0
2000-07-14,21.14,21.14,20.56,12.9146,25000.0
2000-07-17,20.44,20.63,20.03,12.715,56800.0
2000-07-18,20.22,20.38,20.06,12.5153,49700.0
2000-07-19,20.2,20.33,19.91,12.5153,40900.0
2000-07-20,20.19,20.19,19.75,12.4217,23700.0
2000-07-21,19.84,20.23,19.84,12.4779,31800.0
2000-07-24,20.22,20.22,19.78,12.4966,33300.0
2000-07-25,20.11,20.19,19.78,12.3406,12200.0
2000-07-26,19.73,19.94,19.63,12.2658,13300.0
2000-07-27,19.73,19.89,19.61,12.403,6000.0
2000-07-28,19.91,19.94,19.63,12.3032,81500.0
2000-07-31,19.88,20.11,19.77,12.3593,9400.0
2000-08-01,19.89,20.06,19.77,12.3718,33700.0
2000-08-02,19.97,20.06,19.72,12.4467,20400.0
2000-08-03,20.11,20.3,19.95,12.5839,7700.0
2000-08-04,20.09,20.09,19.73,12.4654,12000.0
2000-08-07,19.88,20.38,19.88,12.715,39200.0
2000-08-08,20.39,20.88,20.39,13.0269,102600.0
2000-08-09,20.98,21.09,20.83,13.0331,50000.0
2000-08-10,20.88,20.88,20.34,12.8397,19300.0
2000-08-11,20.44,21.0,20.44,13.1018,35400.0
2000-08-14,21.13,21.13,20.73,13.1018,38800.0
2000-08-15,20.94,21.19,20.81,13.1829,27300.0
2000-08-16,21.31,21.31,21.09,13.2578,30200.0
2000-08-17,21.38,21.38,20.98,13.2078,60700.0
2000-08-18,20.97,21.14,20.7,12.977,24700.0
2000-08-21,21.0,21.0,20.59,12.9084,14400.0
2000-08-22,20.72,20.72,20.47,12.7774,21700.0
2000-08-23,20.48,20.48,20.25,12.7212,42100.0
2000-08-24,20.41,20.58,20.28,12.7399,20200.0
2000-08-25,20.5,20.5,20.28,12.6713,61200.0
2000-08-28,20.28,20.5,20.28,12.6526,40800.0
2000-08-29,20.25,20.38,20.0,12.4779,28500.0
2000-08-30,20.06,20.28,19.89,12.5091,12000.0
2000-08-31,19.91,20.38,19.91,12.6463,13200.0
2000-09-01,20.16,20.16,19.94,12.5153,9500.0
