date,Open,High,Low,Close,Volume
2000-05-01,146.5625,148.4843,145.8437,100.7139,7328300.0
2000-05-02,145.5,147.125,144.125,98.7022,9411900.0
2000-05-03,144.0,144.0,139.7812,96.3909,12630700.0
2000-05-04,142.0,142.3593,140.75,97.1185,5963600.0
2000-05-05,141.0625,144.0,140.9375,98.2956,7862400.0
2000-05-08,142.75,143.375,141.8437,97.5572,5064100.0
2000-05-09,143.0625,143.4062,140.2656,96.7761,5620300.0
2000-05-10,140.5,140.9687,137.75,94.5932,10293900.0
2000-05-11,140.125,141.5,139.125,96.7547,7091100.0
2000-05-12,141.8125,143.4687,141.625,97.8034,5960800.0
2000-05-15,142.75,145.6093,142.0,99.494,4441300.0
2000-05-16,146.5625,147.7187,145.3125,100.4571,8192200.0
2000-05-17,145.6875,146.1875,144.4687,99.4084,5907200.0
2000-05-18,145.625,146.3125,143.375,98.1886,4325600.0
2000-05-19,142.5625,143.2343,140.4062,96.6477,6518400.0
2000-05-22,141.25,141.4687,137.0,95.9201,10839400.0
2000-05-23,140.4375,140.8125,137.5625,94.5076,7979200.0
2000-05-24,138.0,140.6875,136.5,96.0485,11081500.0
2000-05-25,140.6875,141.8125,137.7187,94.4006,8278900.0
2000-05-26,138.8125,139.6875,137.3281,94.5076,4814000.0
2000-05-30,140.0,142.9375,139.4687,97.5894,5362700.0
2000-05-31,142.5625,144.0,142.0937,97.8034,6056500.0
2000-06-01,143.6875,145.4375,143.0,99.5155,8961600.0
2000-06-02,148.9375,149.0937,147.4843,101.2489,8962200.0
2000-06-05,147.4687,148.2187,146.875,100.7567,6998100.0
2000-06-06,146.625,147.7812,145.9062,100.3073,4858900.0
2000-06-07,146.625,148.0,146.0,101.0028,4919500.0
2000-06-08,147.5,147.75,146.0625,100.6069,5723100.0
2000-06-09,147.5,147.9687,145.625,100.3929,3085300.0
2000-06-12,146.9687,146.9687,144.875,99.2159,3678900.0
2000-06-13,144.8125,147.75,144.625,101.0777,6558700.0
2000-06-14,148.25,148.875,147.1875,101.2489,6420500.0
2000-06-15,148.125,148.75,146.8437,101.463,5881200.0
2000-06-16,148.3125,148.3125,145.875,100.6315,5567900.0
2000-06-19,146.4687,149.1562,146.25,101.9186,5106900.0
2000-06-20,148.1875,148.875,147.0,101.554,6480000.0
2000-06-21,146.9375,148.4375,146.8906,101.5111,3115000.0
2000-06-22,147.5625,147.6875,145.0,99.9665,7490500.0
2000-06-23,145.8125,146.125,143.875,99.1084,4863300.0
2000-06-26,145.375,146.25,144.875,100.3848,5201300.0
2000-06-27,145.9843,146.7187,145.0156,99.6447,4159500.0
2000-06-28,145.625,146.9843,145.3125,99.9236,5347700.0
2000-06-29,144.75,145.75,143.5156,98.9797,6345700.0
2000-06-30,143.9375,145.5937,143.8906,99.7305,7420200.0
2000-07-03,145.4375,147.4375,145.1875,101.1034,1436600.0
2000-07-05,146.375,146.6562,144.375,99.2801,2748200.0
2000-07-06,144.9375,146.4687,144.2187,100.0523,5963200.0
2000-07-07,146.6875,148.7812,146.25,101.6612,3034800.0
2000-07-10,147.875,148.9062,147.5312,101.4896,2816100.0
2000-07-11,147.4687,149.125,147.1562,101.7041,5431600.0
2000-07-12,149.2812,150.125,148.6875,102.3691,5883000.0
2000-07-13,149.9843,150.375,149.1875,102.8196,5356000.0
2000-07-14,150.4375,151.25,149.6718,103.8279,5341900.0
2000-07-17,150.9843,151.9843,150.6875,103.6563,4208300.0
2000-07-18,150.625,150.625,149.3437,102.8089,4262100.0
2000-07-19,149.4687,149.9062,148.25,101.983,8506800.0
2000-07-20,149.0,150.625,148.8125,103.3988,4538900.0
2000-07-21,149.75,149.75,147.6875,101.3824,5656900.0
2000-07-24,148.125,148.8593,146.5625,100.8031,5628500.0
2000-07-25,147.75,147.8437,146.7812,101.1249,4757100.0
2000-07-26,146.9687,147.1562,145.6406,100.1381,12062500.0
2000-07-27,145.9375,146.625,144.6875,99.7949,7652600.0
2000-07-28,145.7187,145.9062,141.5156,97.5424,6229500.0
2000-07-31,142.9375,144.125,142.0625,98.1645,5265500.0
2000-08-01,143.625,144.7187,143.125,98.7652,3946600.0
2000-08-02,143.875,145.4062,143.625,99.2586,7439800.0
2000-08-03,142.875,145.8125,142.625,99.945,4607100.0
2000-08-04,146.3125,146.7187,145.4062,100.4814,3686600.0
2000-08-07,146.7187,148.4375,146.375,101.6827,4159800.0
2000-08-08,147.5,148.8125,147.5,102.0688,3658700.0
2000-08-09,149.1406,149.2187,147.375,101.2107,5383800.0
2000-08-10,147.5312,147.8593,146.2812,100.7173,4193400.0
2000-08-11,146.625,148.0,145.5625,101.1893,5089400.0
2000-08-14,147.7812,149.5625,147.0625,102.4764,2966700.0
2000-08-15,149.3437,149.8125,148.5625,102.3906,5564600.0
2000-08-16,149.3125,149.9375,147.8437,102.0259,5191600.0
2000-08-17,148.6875,150.4375,148.3437,103.0985,5652200.0
2000-08-18,150.375,150.375,149.2187,102.7553,4626400.0
2000-08-21,150.0312,150.7187,149.4062,103.313,2380600.0
2000-08-22,150.5625,151.3125,150.0937,103.1414,3075300.0
2000-08-23,149.8125,151.2812,149.2812,103.549,5483200.0
2000-08-24,151.1562,151.5,150.5,103.8708,4529000.0
2000-08-25,151.1562,151.625,150.9375,103.8279,2822200.0
2000-08-28,151.25,152.9062,151.25,104.1818,5518700.0
2000-08-29,151.4375,151.875,150.9062,104.2032,3561900.0
2000-08-30,151.3125,151.5,150.3437,103.2057,3964800.0
2000-08-31,151.0625,153.0937,150.9062,104.5787,4863100.0
2000-09-01,153.25,153.5937,152.0,104.686,3191200.0
2000-09-05,151.875,152.2031,150.8125,103.8493,3470800.0
2000-09-06,151.1875,151.9531,149.5312,102.6695,4322200.0
2000-09-07,150.25,151.0781,149.8281,103.549,4265500.0
2000-09-08,150.2812,150.5,149.3281,102.8411,3518200.0
2000-09-11,149.75,151.1875,148.6875,102.6909,3937500.0
2000-09-12,149.75,150.25,148.4375,101.9401,4769100.0
2000-09-13,148.0,149.3437,147.6562,102.2082,7691600.0
2000-09-14,149.875,149.9375,148.1562,102.7231,3397100.0
2000-09-15,148.1875,148.25,146.0,100.4816,4085700.0
2000-09-18,146.375,146.9687,144.2031,99.5567,5109300.0
2000-09-19,145.125,146.3125,144.7031,100.46,6588200.0
2000-09-20,145.6875,146.0312,143.1562,99.7181,6508100.0
2000-09-21,144.4687,145.5625,142.625,98.2018,5972300.0
2000-09-22,142.625,145.3125,142.4218,99.9869,7791300.0
2000-09-25,145.9375,146.0625,143.7187,99.2772,9726300.0
2000-09-26,144.375,145.0,142.4062,98.0082,5302400.0
2000-09-27,143.5625,143.9687,142.125,98.5244,7186200.0
2000-09-28,143.1875,146.3281,142.8906,99.7934,7036400.0
2000-09-29,145.4687,145.9687,143.625,98.847,9333600.0
2000-10-02,144.2812,144.9062,143.1406,98.9976,5517800.0
2000-10-03,144.5312,145.75,142.2812,98.0728,9347200.0
2000-10-04,142.875,144.25,141.75,98.8901,6148900.0
2000-10-05,143.4062,144.8437,143.3125,99.2342,4566900.0
2000-10-06,143.875,144.6406,139.75,97.0834,10014900.0
2000-10-09,141.3125,141.3125,139.375,96.3522,4508000.0
2000-10-10,140.0937,141.25,137.6875,94.7607,6104700.0
2000-10-11,137.625,138.625,135.125,93.9649,10346000.0
