date,Open,High,Low,Close,Volume
2000-05-01,22.5,22.81,22.16,14.24,21200.0
2000-05-02,22.59,22.78,22.39,14.2778,19000.0
2000-05-03,22.94,22.97,22.5,14.2778,309800.0
2000-05-04,22.75,22.94,22.52,14.2778,30600.0
2000-05-05,22.63,23.22,22.63,14.6113,11600.0
2000-05-08,23.33,23.7,23.2,14.9133,277200.0
2000-05-09,23.77,23.81,23.47,14.9825,975200.0
2000-05-10,23.66,23.72,23.31,14.8881,87000.0
2000-05-11,23.52,23.7,23.38,14.8693,28800.0
2000-05-12,23.58,23.58,23.16,14.6679,26400.0
2000-05-15,23.3,23.98,23.3,15.0329,188200.0
2000-05-16,23.97,23.97,23.5,14.9637,1201000.0
2000-05-17,23.63,23.94,23.63,15.014,19000.0
2000-05-18,23.72,23.98,23.72,14.9825,12100.0
2000-05-19,23.63,23.98,23.53,15.0895,17800.0
2000-05-22,23.84,24.19,23.56,15.0455,41400.0
2000-05-23,23.69,23.88,23.63,14.9637,17700.0
2000-05-24,24.03,24.38,23.91,15.2909,24700.0
2000-05-25,24.08,24.34,23.97,15.2468,85400.0
2000-05-26,24.27,24.45,24.06,15.2972,35500.0
2000-05-30,24.36,24.36,23.84,15.2091,161300.0
2000-05-31,23.94,24.28,23.94,15.0643,84900.0
2000-06-01,24.17,24.44,23.41,15.1021,96400.0
2000-06-02,24.0,24.02,23.13,14.5798,1366300.0
2000-06-05,23.16,23.42,23.02,14.5609,30800.0
2000-06-06,23.25,23.41,23.03,14.6113,32000.0
2000-06-07,23.58,23.77,23.36,14.7686,38200.0
2000-06-08,23.47,23.53,23.08,14.7686,40100.0
2000-06-09,23.36,23.83,23.36,14.9322,85500.0
2000-06-12,23.58,23.94,23.5,14.9133,12700.0
2000-06-13,23.61,24.22,23.61,15.0832,150000.0
2000-06-14,24.25,24.5,24.2,15.2783,139100.0
2000-06-15,24.61,24.73,24.38,15.5614,144900.0
2000-06-16,24.7,24.7,24.22,15.2762,24400.0
2000-06-19,24.27,24.5,24.09,15.3078,51500.0
2000-06-20,24.25,24.25,23.84,15.0366,86100.0
2000-06-21,24.0,24.31,23.97,15.333,96300.0
2000-06-22,24.06,24.06,23.72,14.9987,48000.0
2000-06-23,23.84,24.09,23.83,15.1753,87200.0
2000-06-26,23.94,24.59,23.94,15.3771,39900.0
2000-06-27,24.39,24.75,24.39,15.6105,74100.0
2000-06-28,24.73,24.75,24.31,15.6105,104300.0
2000-06-29,24.69,25.03,24.63,15.7493,42600.0
2000-06-30,24.78,25.23,24.59,15.9133,111900.0
2000-07-03,25.08,25.28,24.91,15.9448,59500.0
2000-07-05,25.45,25.61,25.2,15.9826,72900.0
2000-07-06,25.47,25.66,25.22,16.0079,123700.0
2000-07-07,25.31,25.31,25.05,15.8943,22300.0
2000-07-10,25.3,25.44,25.09,16.0457,47900.0
2000-07-11,25.19,25.47,25.19,16.052,19700.0
2000-07-12,25.42,25.42,24.94,15.7304,219900.0
2000-07-13,25.0,25.0,24.38,15.4907,53400.0
2000-07-14,24.41,24.41,23.97,15.3141,39900.0
2000-07-17,24.28,24.72,24.14,15.3961,55600.0
2000-07-18,24.64,24.64,24.3,15.415,114900.0
2000-07-19,24.59,24.59,24.28,15.4339,37200.0
2000-07-20,24.31,24.45,24.06,15.1753,11500.0
2000-07-21,24.08,24.31,24.03,15.2195,49100.0
2000-07-24,24.38,24.72,24.38,15.5348,210100.0
2000-07-25,24.03,24.38,24.03,15.2573,94600.0
2000-07-26,24.13,24.44,24.03,15.2636,36500.0
2000-07-27,24.23,24.59,24.17,15.3771,29600.0
2000-07-28,24.58,24.69,24.38,15.5033,106300.0
2000-07-31,24.5,24.58,24.22,15.333,52000.0
2000-08-01,24.42,25.13,24.42,15.8502,691600.0
2000-08-02,24.91,25.28,24.91,15.8376,44500.0
2000-08-03,25.19,25.34,25.06,15.9259,67000.0
2000-08-04,25.16,25.16,24.77,15.806,60300.0
2000-08-07,25.03,25.06,24.75,15.6105,25900.0
2000-08-08,24.63,25.0,24.63,15.6799,28300.0
2000-08-09,24.56,25.05,23.81,15.0366,101500.0
2000-08-10,23.88,24.31,23.88,15.3078,28700.0
2000-08-11,24.27,24.66,24.27,15.415,253300.0
2000-08-14,24.52,24.61,24.41,15.4654,15600.0
2000-08-15,24.47,24.75,24.47,15.4339,30700.0
2000-08-16,24.47,24.75,24.47,15.5096,17800.0
2000-08-17,24.81,24.83,24.5,15.5033,120100.0
2000-08-18,24.47,24.47,24.25,15.3141,18200.0
2000-08-21,24.44,24.72,24.44,15.4718,19200.0
2000-08-22,24.55,24.69,24.44,15.415,8700.0
2000-08-23,24.31,24.63,24.31,15.5096,138200.0
2000-08-24,24.41,24.59,24.38,15.415,11300.0
2000-08-25,24.5,24.53,24.31,15.4718,13300.0
2000-08-28,24.52,24.72,24.39,15.4213,20300.0
2000-08-29,24.13,24.31,24.06,15.1879,30000.0
2000-08-30,23.97,24.16,23.88,15.1185,20500.0
2000-08-31,23.95,24.16,23.95,15.1501,39000.0
2000-09-01,24.06,24.19,23.88,15.0618,750400.0
