date,Open,High,Low,Close,Volume
2003-10-10,50.76,50.78,50.76,42.1221,700.0
2003-10-13,51.7,51.7,51.57,42.7774,1100.0
2003-10-14,51.6,51.85,51.6,43.0097,7400.0
2003-10-15,51.96,51.96,51.44,42.6696,700.0
2003-10-16,51.74,51.78,51.6,42.8023,700.0
2003-10-17,51.79,51.79,51.37,42.6115,4400.0
2003-10-20,51.18,51.18,51.15,42.429,400.0
2003-10-21,51.2,51.5,51.2,42.7193,1400.0
2003-10-22,50.97,50.97,50.7,42.0557,1000.0
2003-10-23,50.5,50.76,50.5,42.1055,1900.0
2003-10-24,50.53,50.53,50.48,41.8732,900.0
2003-10-27,51.0,51.06,50.98,42.288,400.0
2003-10-28,50.98,50.98,50.98,42.288,0.0
2003-10-29,51.83,51.93,51.82,42.9848,1400.0
2003-10-30,52.32,52.61,52.25,43.6401,2100.0
2003-10-31,52.4,52.5,52.15,43.5488,60800.0
2003-11-03,52.71,52.78,52.71,43.7811,200.0
2003-11-04,53.01,53.01,52.85,43.8392,2500.0
2003-11-05,52.71,52.78,52.49,43.7811,7000.0
2003-11-06,52.85,53.65,52.85,44.5028,500.0
2003-11-07,53.89,53.89,53.65,44.5193,3100.0
2003-11-10,53.88,53.88,53.13,44.0797,61800.0
2003-11-11,53.06,53.06,52.61,43.6401,1000.0
2003-11-12,52.7,52.87,52.7,43.8557,20700.0
2003-11-13,52.75,53.01,52.75,43.9719,700.0
2003-11-14,53.07,53.25,52.5,43.5488,16500.0
2003-11-17,52.24,52.24,51.76,42.935,1500.0
2003-11-18,52.18,52.32,51.71,42.8935,15100.0
2003-11-19,51.46,51.46,51.46,42.6861,100.0
2003-11-20,51.18,51.4,51.18,42.6364,28300.0
2003-11-21,51.15,51.16,51.1,42.3875,400.0
2003-11-24,51.66,51.75,51.66,42.9267,30300.0
2003-11-25,52.3,52.56,52.3,43.5986,500.0
2003-11-26,52.9,52.9,52.34,43.4659,4000.0
2003-11-28,52.6,52.64,52.6,43.6567,28500.0
2003-12-01,52.89,53.11,52.89,44.0548,300.0
2003-12-02,53.15,53.23,53.01,44.0051,60700.0
2003-12-03,52.93,53.01,52.93,43.9636,10000.0
2003-12-04,52.91,52.91,52.45,43.7562,70400.0
2003-12-05,52.6,52.85,52.6,43.6815,4000.0
2003-12-08,52.52,52.64,52.42,43.665,10600.0
2003-12-09,52.8,53.0,52.75,43.7645,600.0
2003-12-10,52.41,52.53,52.19,43.4659,302700.0
2003-12-11,52.78,53.55,52.78,44.3617,20000.0
2003-12-12,53.06,53.31,52.2,44.46,16100.0
2003-12-15,53.72,53.72,53.31,44.5352,104000.0
2003-12-16,52.73,53.04,52.73,44.3097,1100.0
2003-12-17,52.39,53.08,52.39,44.3431,102000.0
2003-12-18,53.08,53.08,53.08,44.3431,0.0
2003-12-19,53.41,53.41,53.2,44.5853,3900.0
2003-12-22,54.26,54.26,53.47,44.8443,68300.0
2003-12-23,53.6,53.65,53.56,44.7441,4600.0
2003-12-24,53.51,53.51,53.5,44.6939,500.0
2003-12-26,53.76,53.76,53.55,44.836,54900.0
2003-12-29,53.92,54.24,53.67,45.3121,9700.0
2003-12-30,54.16,54.16,53.95,45.1367,1500.0
2003-12-31,53.69,53.82,53.69,44.9613,1100.0
2004-01-02,54.0,54.28,54.0,45.3456,2300.0
2004-01-05,54.15,54.15,53.89,45.2202,3500.0
2004-01-06,54.04,54.38,54.01,45.3623,52800.0
2004-01-07,53.8,54.14,53.73,45.2119,7000.0
2004-01-08,54.28,54.28,53.99,45.1033,5000.0
2004-01-09,53.83,53.83,53.57,44.7691,8700.0
2004-01-12,53.75,53.98,53.63,45.0615,2400.0
2004-01-13,53.96,53.96,53.65,45.0114,3200.0
2004-01-14,54.08,54.27,53.98,45.2871,5100.0
2004-01-15,54.14,54.14,53.74,45.0699,8900.0
2004-01-16,54.14,54.28,54.14,45.3205,3300.0
2004-01-20,54.03,54.03,53.74,44.8944,1800.0
2004-01-21,53.71,54.61,53.71,45.5377,2300.0
2004-01-22,54.74,55.21,54.74,46.0389,38700.0
2004-01-23,54.98,55.12,54.84,45.8468,1800.0
2004-01-26,54.68,54.68,54.34,45.6129,3200.0
2004-01-27,54.73,54.73,54.1,45.3372,40500.0
2004-01-28,54.14,54.14,53.13,44.3848,41900.0
2004-01-29,52.83,53.18,52.69,44.4266,13900.0
2004-01-30,51.65,51.77,51.53,43.1234,23600.0
2004-02-02,51.6,51.65,51.18,42.8728,7400.0
2004-02-03,50.9,51.3,50.9,42.6222,109000.0
2004-02-04,50.67,50.8,50.33,42.0457,53900.0
2004-02-05,50.73,50.73,50.6,42.2963,700.0
2004-02-06,50.88,51.6,50.83,43.1067,27100.0
2004-02-09,51.83,51.97,51.74,43.2236,62400.0
2004-02-10,51.68,52.11,51.51,43.5327,2100.0
2004-02-11,52.1,52.41,52.1,43.7834,1800.0
2004-02-12,52.31,52.81,52.31,43.9421,20700.0
2004-02-13,52.2,52.2,52.2,43.6079,100.0
2004-02-17,52.05,52.27,51.75,43.6079,5500.0
2004-02-18,51.8,51.85,51.8,43.3155,6000.0
2004-02-19,52.21,52.3,51.85,43.3322,5700.0
2004-02-20,51.64,51.64,51.52,43.1317,1200.0
2004-02-23,51.6,51.6,50.98,42.5887,3000.0
2004-02-24,50.82,51.11,50.82,42.6556,35100.0
2004-02-25,51.25,51.25,51.0,42.7558,1900.0
2004-02-26,51.12,51.66,51.1,43.1568,4300.0
2004-02-27,51.51,52.14,51.43,43.5578,76700.0
2004-03-01,51.6,52.1,51.6,43.5244,800.0
2004-03-02,52.12,52.2,51.73,43.3406,4300.0
2004-03-03,51.59,51.72,51.31,43.2069,4100.0
2004-03-04,51.35,51.42,51.19,42.9396,103700.0
2004-03-05,51.64,51.69,51.56,43.1819,1000.0
2004-03-08,51.4,51.52,51.3,42.8561,1200.0
2004-03-09,50.9,50.96,50.75,42.3966,7500.0
2004-03-10,50.76,50.76,50.76,42.4049,100.0
2004-03-11,49.91,50.87,49.9,42.4968,59800.0
2004-03-12,50.87,50.9,50.69,42.4467,51700.0
2004-03-15,50.64,50.65,50.07,41.9789,3700.0
2004-03-16,50.25,50.25,49.68,41.8118,41900.0
2004-03-17,50.82,51.12,50.82,42.6556,28500.0
2004-03-18,50.5,50.81,50.3,42.2128,1800.0
2004-03-19,50.19,50.46,49.93,41.7116,10200.0
2004-03-22,49.66,49.66,49.16,41.2103,7300.0
2004-03-23,49.8,49.83,49.39,41.4359,27400.0
2004-03-24,49.64,49.68,49.5,41.3523,4200.0
2004-03-25,50.12,50.77,50.12,42.4133,5200.0
2004-03-26,50.69,51.0,50.69,42.5342,2900.0
2004-03-29,51.27,51.84,51.27,43.0694,4400.0
2004-03-30,51.45,51.56,51.26,43.036,9000.0
2004-03-31,51.64,51.8,51.24,43.3203,4000.0
2004-04-01,52.05,52.21,52.0,43.6632,3200.0
2004-04-02,53.14,53.14,52.92,44.4409,3800.0
2004-04-05,52.85,53.02,52.6,44.0897,44900.0
2004-04-06,52.72,53.44,52.72,44.6918,2000.0
2004-04-07,53.24,53.24,52.52,44.3155,1100.0
2004-04-08,52.66,52.86,52.36,43.7886,6400.0
2004-04-12,52.6,52.6,52.39,43.8137,300.0
2004-04-13,52.28,52.37,51.8,43.3788,6000.0
2004-04-14,51.65,52.47,51.65,43.2952,1100.0
2004-04-15,52.32,52.32,52.26,43.705,200.0
2004-04-16,52.2,52.73,52.2,43.9893,4600.0
2004-04-19,52.75,52.75,52.75,44.1148,1700.0
2004-04-20,52.94,52.94,52.46,43.8723,1200.0
2004-04-21,52.65,52.65,52.65,44.0312,900.0
2004-04-22,52.91,53.75,52.91,44.9511,22400.0
2004-04-23,53.71,53.94,53.62,45.11,28800.0
2004-04-26,54.32,54.36,53.7,44.9093,1900.0
2004-04-27,53.9,53.9,53.4,44.6584,1100.0
2004-04-28,53.16,53.45,53.0,44.4159,6200.0
2004-04-29,53.08,53.08,52.09,43.5628,2600.0
2004-04-30,52.01,52.17,52.01,43.5879,108000.0
2004-05-03,52.17,52.48,52.17,43.889,700.0
2004-05-04,52.21,52.43,52.21,43.8054,8600.0
2004-05-05,52.29,52.76,52.23,44.1232,5000.0
2004-05-06,52.08,52.3,52.08,43.7385,400.0
2004-05-07,52.28,52.28,51.21,42.8269,22300.0
2004-05-10,50.8,50.8,50.4,42.3167,21700.0
2004-05-11,51.1,51.19,50.95,42.668,22800.0
2004-05-12,50.56,50.56,50.25,42.1495,22800.0
2004-05-13,51.4,51.58,51.22,42.8353,8200.0
2004-05-14,51.08,51.44,51.08,42.8938,400.0
2004-05-17,50.7,51.0,50.28,42.3418,156900.0
2004-05-18,51.31,51.31,51.31,42.9105,100.0
2004-05-19,51.82,51.82,51.78,43.3036,600.0
2004-05-20,51.16,51.16,51.08,42.7182,200.0
