date,Open,High,Low,Close,Volume
2000-05-01,28.23,28.58,28.23,13.7361,27500.0
2000-05-02,28.3,28.44,27.38,13.2393,24200.0
2000-05-03,27.5,28.5,27.36,13.2875,183600.0
2000-05-04,27.19,27.61,27.08,13.2634,28000.0
2000-05-05,27.33,27.56,27.31,13.2923,14900.0
2000-05-08,27.25,28.06,27.25,13.384,32300.0
2000-05-09,27.59,27.78,27.5,13.3406,10300.0
2000-05-10,27.78,28.36,27.72,13.5962,38200.0
2000-05-11,28.27,28.66,28.27,13.7988,47900.0
2000-05-12,28.55,28.55,28.06,13.5817,12000.0
2000-05-15,28.03,28.86,28.03,13.8422,919300.0
2000-05-16,28.63,28.81,28.34,13.7843,906400.0
2000-05-17,28.34,28.34,28.02,13.5721,6600.0
2000-05-18,28.38,28.66,28.23,13.6878,12000.0
2000-05-19,27.81,28.0,27.52,13.4274,7400.0
2000-05-22,28.03,28.08,27.73,13.519,14800.0
2000-05-23,27.97,27.97,27.52,13.273,15100.0
2000-05-24,27.83,28.17,27.8,13.4949,14700.0
2000-05-25,28.06,28.06,27.52,13.273,25000.0
2000-05-26,27.97,28.22,27.72,13.5335,114600.0
2000-05-30,28.28,28.28,27.94,13.6348,28400.0
2000-05-31,28.13,28.47,28.13,13.7071,9300.0
2000-06-01,28.33,28.63,28.27,13.8084,6800.0
2000-06-02,28.52,28.69,28.39,13.7602,50800.0
2000-06-05,28.16,28.16,27.88,13.4467,16800.0
2000-06-06,28.06,28.61,28.06,13.7602,46200.0
2000-06-07,28.31,28.73,28.31,13.8132,32400.0
2000-06-08,28.63,28.86,28.5,13.8952,8100.0
2000-06-09,28.83,29.22,28.83,14.0688,134300.0
2000-06-12,29.28,29.28,28.97,14.011,44800.0
2000-06-13,29.22,29.77,29.22,14.31,31200.0
2000-06-14,29.84,29.84,29.36,14.2521,37800.0
2000-06-15,29.55,29.91,29.39,14.175,227100.0
2000-06-16,29.16,29.5,28.84,14.0164,236000.0
2000-06-19,29.25,29.52,29.17,14.2448,91800.0
2000-06-20,29.08,29.14,28.8,14.0942,240200.0
2000-06-21,28.81,29.34,28.81,14.1379,175800.0
2000-06-22,28.95,29.05,28.91,14.0504,15400.0
2000-06-23,28.97,29.22,28.97,14.0942,39200.0
2000-06-26,29.22,29.25,28.91,14.0504,14300.0
2000-06-27,28.81,28.97,28.13,13.6713,3486300.0
2000-06-28,28.11,28.36,27.61,13.7831,1770500.0
2000-06-29,27.86,28.03,27.63,13.5644,11500.0
